producto,mes_corte,ventas_mes_siguiente,prediccion,prediccion_redondeada,error_absoluto
Adidas Aeroready Tank Negro,2025-12,32,30.244971155751156,30,1.7550288442488444
Adidas Core Cotton Tank Negro,2025-12,4,2.90081287798363,3,1.09918712201637
Adidas Designed 4 Training Tee Negro,2025-12,8,10.23142924797026,10,2.2314292479702598
Adidas Entrada Jacket Azul Marino,2025-12,6,8.411245342346568,8,2.411245342346568
Adidas Essentials Hoodie Gris,2025-12,9,8.415586632643707,8,0.5844133673562926
Adidas HIIT Training Shorts Negro,2025-12,9,8.464214626865369,8,0.5357853731346314
Adidas Optime Training Leggings Morado,2025-12,6,5.9471539617165305,6,0.052846038283469454
Adidas Own The Run Tee Verde,2025-12,10,9.269077082120196,9,0.7309229178798038
Adidas Powerreact Sports Bra Rosa,2025-12,7,6.9576283869024484,7,0.04237161309755155
Adidas Primeblue Track Pants Azul,2025-12,7,6.826819179879639,7,0.1731808201203613
Adidas Strength Graphic Tee Rojo,2025-12,26,26.535237643627166,27,0.5352376436271662
Adidas Techfit Compression Shirt Blanco,2025-12,20,25.135524824527028,25,5.135524824527028
Adidas Tiro Training Pants Negro,2025-12,8,10.597779703312412,11,2.597779703312412
Adidas Train Essentials Shorts Azul,2025-12,15,11.430566734489462,11,3.569433265510538
Adidas Training Long Sleeve Verde Olivo,2025-12,11,10.514363715802686,11,0.4856362841973141
Adidas Yoga Studio Tee Blanco,2025-12,12,9.349011576108815,9,2.650988423891185
Adidas ZNE Sweatshirt Gris,2025-12,20,14.717647058299256,15,5.2823529417007435
Amino Energy BCAA 270 g,2025-12,61,46.83971527777777,47,14.16028472222223
Cellucor Alpha Amino Lemon Lime,2025-12,14,8.889899295327318,9,5.110100704672682
Cellucor BCAA Sport Watermelon 270 g,2025-12,18,20.956795431955715,21,2.9567954319557153
Cellucor C4 Energy Drink Pack 12 piezas,2025-12,7,18.305278020722763,18,11.305278020722763
Cellucor C4 Original Fruit Punch,2025-12,24,28.229782637550112,28,4.229782637550112
Cellucor C4 Original Icy Blue Razz,2025-12,5,12.087717350527557,12,7.087717350527557
Cellucor C4 Ripped Arctic Snow Cone,2025-12,9,11.315012083593478,11,2.315012083593478
Cellucor C4 Smart Energy Peach Mango,2025-12,13,17.217116750995032,17,4.217116750995032
Cellucor C4 Ultimate Cherry Limeade,2025-12,11,10.419631833923827,10,0.5803681660761733
Cellucor CLA 90 Softgels,2025-12,10,13.760626548050846,14,3.760626548050846
Cellucor Cor Performance Whey Chocolate,2025-12,23,18.75066784322118,19,4.24933215677882
Cellucor Cor Performance Whey Vanilla,2025-12,21,11.876836248038183,12,9.123163751961817
Cellucor Creatine Monohydrate 300 g,2025-12,23,30.111069831328095,30,7.111069831328095
Cellucor Hydration Stick Lemon 20 sobres,2025-12,23,20.050967870120363,20,2.9490321298796367
Cellucor Isolate Protein Chocolate 2 lb,2025-12,37,35.08097961760459,35,1.9190203823954093
Cellucor Post Workout Recovery Berry,2025-12,11,10.780200015079823,11,0.2197999849201775
Cellucor Super HD 60 caps,2025-12,27,25.181971440437195,25,1.818028559562805
Cellucor Whey Cinnamon Swirl 2 lb,2025-12,15,21.330091109051477,21,6.330091109051477
Creatina Monohidratada 300 g,2025-12,37,29.7079782187889,30,7.292021781211101
Guantes de Entrenamiento Pro,2025-12,11,10.479983181592129,10,0.5200168184078713
Gymshark Adapt Leggings Negro,2025-12,17,12.693569553077353,13,4.306430446922647
Gymshark Apex Training Tee Blanco,2025-12,15,11.815254761947454,12,3.184745238052546
Gymshark Apex Training Tee Negro,2025-12,4,7.644160723498064,8,3.6441607234980644
Gymshark Arrival Shorts Negro,2025-12,16,8.941446498202954,9,7.058553501797046
Gymshark Crest Hoodie Gris,2025-12,16,8.864825680575448,9,7.135174319424552
