"producto","mes_corte","ventas_mes_anterior","promedio_movil_ventas_3_meses","promedio_movil_ventas_6_meses","promedio_movil_ventas_12_meses","vistas_producto_mes_anterior","promedio_movil_vistas_3_meses","ventas_mes_siguiente"
"Adidas Aeroready Tank Negro","2023-06","9","10.33","9.83","10.00","78","63.67","10"
"Adidas Aeroready Tank Negro","2023-07","10","10.67","9.67","10.00","58","64.33","7"
"Adidas Aeroready Tank Negro","2023-08","7","8.67","9.50","9.75","40","58.67","8"
"Adidas Aeroready Tank Negro","2023-09","8","8.33","9.33","9.75","59","52.33","9"
"Adidas Aeroready Tank Negro","2023-10","9","8.00","9.33","9.67","54","51.00","13"
"Adidas Aeroready Tank Negro","2023-11","13","10.00","9.33","9.67","101","71.33","10"
"Adidas Aeroready Tank Negro","2023-12","10","10.67","9.50","9.67","54","69.67","12"
"Adidas Aeroready Tank Negro","2024-01","12","11.67","9.83","9.75","57","70.67","10"
"Adidas Aeroready Tank Negro","2024-02","10","10.67","10.33","9.92","48","53.00","10"
"Adidas Aeroready Tank Negro","2024-03","10","10.67","10.67","10.00","77","60.67","12"
"Adidas Aeroready Tank Negro","2024-04","12","10.67","11.17","10.25","71","65.33","10"
"Adidas Aeroready Tank Negro","2024-05","10","10.67","10.67","10.00","69","72.33","11"
"Adidas Aeroready Tank Negro","2024-06","11","11.00","10.83","10.17","56","65.33","26"
"Adidas Aeroready Tank Negro","2024-07","26","15.67","13.17","11.50","53","59.33","33"
"Adidas Aeroready Tank Negro","2024-08","33","23.33","17.00","13.67","44","51.00","23"
"Adidas Aeroready Tank Negro","2024-09","23","27.33","19.17","14.92","62","53.00","30"
"Adidas Aeroready Tank Negro","2024-10","30","28.67","22.17","16.67","46","50.67","31"
"Adidas Aeroready Tank Negro","2024-11","31","28.00","25.67","18.17","57","55.00","11"
"Adidas Aeroready Tank Negro","2024-12","11","24.00","25.67","18.25","56","53.00","27"
"Adidas Aeroready Tank Negro","2025-01","27","23.00","25.83","19.50","60","57.67","37"
"Adidas Aeroready Tank Negro","2025-02","37","25.00","26.50","21.75","58","58.00","29"
"Adidas Aeroready Tank Negro","2025-03","29","31.00","27.50","23.33","73","63.67","25"
"Adidas Aeroready Tank Negro","2025-04","25","30.33","26.67","24.42","77","69.33","29"
"Adidas Aeroready Tank Negro","2025-05","29","27.67","26.33","26.00","78","76.00","31"
"Adidas Aeroready Tank Negro","2025-06","31","28.33","29.67","27.67","54","69.67","21"
"Adidas Aeroready Tank Negro","2025-07","21","27.00","28.67","27.25","62","64.67","28"
"Adidas Aeroready Tank Negro","2025-08","28","26.67","27.17","26.83","51","55.67","34"
"Adidas Aeroready Tank Negro","2025-09","34","27.67","28.00","27.75","45","52.67","34"
"Adidas Aeroready Tank Negro","2025-10","34","32.00","29.50","28.08","53","49.67","40"
"Adidas Aeroready Tank Negro","2025-11","40","36.00","31.33","28.83","45","47.67","11"
"Adidas Aeroready Tank Negro","2025-12","11","28.33","28.00","28.83","84","60.67","32"
"Adidas Aeroready Tank Negro","2026-01","32","27.67","29.83","29.25","54","61.00","30"
"Adidas Aeroready Tank Negro","2026-02","30","24.33","30.17","28.67","49","62.33","36"
"Adidas Aeroready Tank Negro","2026-03","36","32.67","30.50","29.25","42","48.33","38"
"Adidas Aeroready Tank Negro","2026-04","38","34.67","31.17","30.33","51","47.33","45"
"Adidas Aeroready Tank Negro","2026-05","45","39.67","32.00","31.67","64","52.33","36"
"Adidas Core Cotton Tank Negro","2023-06","1","1.00","0.83","0.58","74","65.67","1"
"Adidas Core Cotton Tank Negro","2023-07","1","1.00","0.83","0.67","58","62.33","1"
"Adidas Core Cotton Tank Negro","2023-08","1","1.00","1.00","0.67","73","68.33","1"
